mmsi,timestamp,latitude,longitude,speed,heading,vessel_name,vessel_type
900000012,2026-09-19T12:10:00+00:00,13.76238,80.03171,11.03,311.8,,Tanker
900000010,2026-09-19T14:30:00+00:00,12.91868,79.96241,15.01,127.7,,Cargo
900000010,2026-09-19T14:50:00+00:00,12.86668,80.02933,15.02,128.7,,Cargo
900000005,2026-09-19T18:15:00+00:00,12.43876,79.70461,13.08,300.9,,Cargo
222222222,2026-09-19T08:35:00+00:00,12.30454,80.60515,12.47,184.2,,Cargo
444444444,2026-09-19T14:15:00+00:00,12.11648,81.09532,7.04,114.3,,Fishing
900000014,2026-09-19T09:55:00+00:00,13.41062,80.93692,8.86,283.1,,Container
333333333,2026-09-19T17:20:00+00:00,13.03573,81.00457,8.36,124.6,,Cargo
900000015,2026-09-19T12:45:00+00:00,11.84485,80.80653,11.09,140.5,VESSEL BG 15,Cargo
900000005,2026-09-19T18:30:00+00:00,12.46987,79.65406,14.18,299.3,VESSEL BG 5,Cargo
900000012,2026-09-19T12:35:00+00:00,13.82174,79.97145,12.03,311.1,VESSEL BG 12,Tanker
900000012,2026-09-19T13:15:00+00:00,13.88751,79.85262,11.57,296.7,VESSEL BG 12,Tanker
111111111,2026-09-19T17:45:00+00:00,12.96252,80.66577,9.81,31.2,VESSEL STRONG,Tanker
444444444,2026-09-19T14:00:00+00:00,12.11928,81.0744,6.0,90.0,VESSEL ERRATIC,Fishing
900000015,2026-09-19T12:50:00+00:00,11.83305,80.81647,10.97,137.2,VESSEL BG 15,Cargo
900000015,2026-09-19T13:20:00+00:00,11.75316,80.86036,10.88,163.0,VESSEL BG 15,Cargo
900000009,2026-09-19T10:30:00+00:00,12.20917,79.81654,8.22,15.2,VESSEL BG 9,Fishing
444444444,2026-09-19T15:55:00+00:00,12.03928,81.19666,3.32,173.7,VESSEL ERRATIC,Fishing
900000013,2026-09-19T10:25:00+00:00,12.711,80.28978,10.69,21.8,VESSEL BG 13,Cargo
444444444,2026-09-19T15:30:00+00:00,12.07455,81.18306,5.24,117.7,VESSEL ERRATIC,Fishing
111111111,2026-09-19T16:15:00+00:00,12.75805,80.51897,10.44,29.0,VESSEL STRONG,Tanker
900000005,2026-09-19T17:55:00+00:00,12.39383,79.76945,13.58,310.2,VESSEL BG 5,Cargo
900000007,2026-09-19T15:20:00+00:00,12.80582,81.32631,11.33,337.0,VESSEL BG 7,Cargo
111111111,2026-09-19T15:00:00+00:00,12.56973,80.4276,9.48,25.0,VESSEL STRONG,Tanker
333333333,2026-09-19T16:50:00+00:00,13.0927,80.95486,9.94,148.0,VESSEL FARTIME,Cargo
900000015,2026-09-19T12:00:00+00:00,11.9391,80.7048,10.46,130.0,VESSEL BG 15,Cargo
111111111,2026-09-19T17:05:00+00:00,12.87378,80.59726,9.79,37.5,VESSEL STRONG,Tanker
900000015,2026-09-19T12:25:00+00:00,11.89067,80.76514,10.92,137.1,VESSEL BG 15,Cargo
111111111,2026-09-19T15:45:00+00:00,12.68346,80.48078,10.21,24.6,VESSEL STRONG,Tanker
444444444,2026-09-19T16:10:00+00:00,12.02204,81.20518,0.0,111.1,VESSEL ERRATIC,Fishing
900000010,2026-09-19T13:35:00+00:00,12.98251,79.74051,15.59,98.8,VESSEL BG 10,Cargo
900000005,2026-09-19T17:50:00+00:00,12.38311,79.78608,13.97,303.4,VESSEL BG 5,Cargo
900000008,2026-09-19T11:55:00+00:00,13.46242,80.61807,12.48,147.1,VESSEL BG 8,Container
222222222,2026-09-19T07:30:00+00:00,12.51933,80.62804,11.41,197.8,VESSEL CLOSE WRONGTIME,Cargo
333333333,2026-09-19T17:00:00+00:00,13.072,80.96927,9.6,140.8,VESSEL FARTIME,Cargo
222222222,2026-09-19T07:15:00+00:00,12.56752,80.64189,12.8,196.1,VESSEL CLOSE WRONGTIME,Cargo
222222222,2026-09-19T07:50:00+00:00,12.45408,80.61611,13.46,184.5,VESSEL CLOSE WRONGTIME,Cargo
111111111,2026-09-19T17:45:00+00:00,12.96252,80.66577,9.81,31.2,VESSEL STRONG,Tanker
444444444,2026-09-19T15:10:00+00:00,12.09842,81.1648,12.93,97.5,VESSEL ERRATIC,Fishing
444444444,2026-09-19T16:50:00+00:00,11.9949,81.26404,9.38,75.8,VESSEL ERRATIC,Fishing
900000009,2026-09-19T09:50:00+00:00,12.11967,79.77532,9.48,47.7,VESSEL BG 9,Fishing
111111111,2026-09-19T16:50:00+00:00,12.84146,80.57027,9.77,38.2,VESSEL STRONG,Tanker
111111111,2026-09-19T17:35:00+00:00,12.9392,80.65033,9.16,36.5,VESSEL STRONG,Tanker
333333333,2026-09-19T16:35:00+00:00,13.12432,80.93411,8.92,149.4,VESSEL FARTIME,Cargo
900000014,2026-09-19T10:45:00+00:00,13.43655,80.81182,9.27,288.5,VESSEL BG 14,Container
333333333,2026-09-19T16:55:00+00:00,13.08209,80.96167,8.27,143.7,VESSEL FARTIME,Cargo
111111111,2026-09-19T17:30:00+00:00,12.92833,80.64144,9.95,38.6,VESSEL STRONG,Tanker
222222222,2026-09-19T08:40:00+00:00,12.2879,80.60389,11.98,186.1,VESSEL CLOSE WRONGTIME,Cargo
900000010,2026-09-19T14:15:00+00:00,12.95056,79.90736,14.11,117.6,VESSEL BG 10,Cargo
